,movie_id,movie_name,Action,Action/Adventure,Adventure,Black-and-white,Comedy,Crime Fiction,Drama,Family Film,Horror,Indie,Romance Film,Short Film,Thriller,World cinema
33065,20475330,Undertow,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20904,3987540,The Flying Deuces,0,0,0,1,1,0,0,0,0,0,0,0,0,0
24681,1662366,The Long Night,0,0,0,1,0,0,1,0,0,0,0,0,1,0
21958,5531874,The Vigilante Fighting Hero of the West,1,0,1,1,0,1,0,0,0,0,0,0,0,0
5677,24166341,Rapture,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11413,1618936,No Way Out,0,0,0,1,0,1,1,0,0,0,0,0,1,0
12172,1721414,Le Notti di Cabiria,0,0,0,1,0,0,1,0,0,0,1,0,0,1
30380,24001036,The Only Son,0,0,0,1,0,0,1,0,0,0,0,0,0,1
41818,19408705,Two Too Young,0,0,0,1,1,0,0,1,0,0,0,1,0,0
30626,13275998,Seeing the World,0,0,0,1,1,0,0,1,0,1,0,1,0,0
28707,14779345,San Quentin,1,0,0,1,0,1,1,0,0,0,0,0,0,0
4639,12613879,Locura de amor,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30448,8476634,Black and Tan,0,0,0,1,0,0,1,0,0,0,0,1,0,0
27550,14355866,Mr. Peabody and the Mermaid,0,0,0,1,1,0,1,0,0,0,1,0,0,0
4242,11959646,A Slave of Fashion,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23845,1971307,To Have and Have Not,0,0,1,1,0,0,1,0,0,0,1,0,1,0
8558,18908698,Boys in Brown,0,0,0,1,0,0,1,0,0,0,0,0,0,0
22589,23418073,Tess of the d'Urbervilles,0,0,0,1,0,0,1,0,0,0,0,0,0,0
33395,18969101,No My Darling Daughter,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14608,15672739,The Perils of Pauline,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19798,61189,Disraeli,0,0,0,1,0,0,1,0,0,1,0,0,0,0
36860,8692493,Dracula,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18212,8861805,Alice in the Cities,0,0,0,1,0,0,1,0,0,0,0,0,0,0
19369,1634487,Les Vampires,0,0,0,1,0,0,0,0,0,1,0,0,1,0
24745,8502322,The History of Mr. Polly,0,0,0,1,0,0,1,0,0,0,0,0,0,0
39117,10279937,Los Rubios,0,0,0,1,0,0,1,0,0,1,0,0,0,1
17092,14746678,Goof on the Roof,0,0,0,1,1,0,0,0,0,0,0,1,0,0
41813,5064191,Germany Year Zero,0,0,0,1,0,0,1,0,0,0,0,0,0,1
36766,11072916,Thou Shalt Honor Thy Wife,0,0,0,1,1,0,1,0,0,1,0,0,0,0
23163,14335277,It's Love I'm After,0,0,0,1,1,0,0,0,0,0,1,0,0,0
37083,936234,The Sea Hawk,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41573,167303,A Canterbury Tale,0,0,0,1,1,0,1,0,0,0,0,0,0,0
24485,5873118,Convention City,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28658,19713654,Cousin Wilbur,0,0,0,1,1,0,0,1,0,0,0,1,0,0
8627,5724053,"Cruel, Cruel Love",0,0,0,1,1,0,0,0,0,1,0,1,0,0
3161,9588217,The Sealed Room,0,0,0,1,0,0,1,0,1,1,0,1,0,0
35821,1064260,Thirteen Women,0,0,0,1,0,0,1,0,0,0,0,0,1,0
17886,12171288,White Cargo,0,0,0,1,0,0,1,0,0,0,0,0,0,0
27301,9612611,The Shadow of the Eagle,1,1,1,1,0,1,0,0,0,0,0,0,0,0
37849,914479,Antoine and Colette,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18356,10691381,The Face on the Bar Room Floor,0,0,0,1,1,0,0,0,0,1,0,1,0,0
35379,145629,Abe Lincoln in Illinois,0,0,0,1,0,0,1,0,0,0,0,0,0,0
19679,17367782,Iron Man,0,0,0,1,0,0,1,0,0,0,0,0,0,0
40937,21153277,Totsugu hi made,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17964,2060144,Adventures of Captain Marvel,0,1,0,1,0,0,1,1,0,0,0,0,0,0
35704,19347508,Boxing Gloves,0,0,0,1,1,0,0,1,0,0,0,1,0,0
20248,2554598,One Week,0,0,0,1,1,0,0,0,0,1,0,1,0,0
11842,8009156,Oliver the Eighth,0,0,0,1,1,0,0,0,0,0,0,1,0,0
33269,19215615,Her Country's Call,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38741,10206784,Torrent,0,0,0,1,0,0,1,0,0,1,0,0,0,0
11583,9566099,The Scoundrel,0,0,0,1,0,0,1,0,0,0,0,0,0,0
34709,14997446,Forever and a Day,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10093,1621849,The Curse of the Cat People,0,0,0,1,0,0,0,0,1,0,0,0,0,0
17249,11693369,The Story of Esther Costello,0,0,0,1,0,0,1,0,0,0,0,0,0,0
